country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","22-03-2026 13:00:00",28.674045,77.131023,NO2,18,58,35
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","22-03-2026 13:00:00",28.674045,77.131023,CO,36,65,44
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB","22-03-2026 13:00:00",29.140560,75.744941,PM10,64,104,79
India,Haryana,Jind,"Police Lines, Jind - HSPCB","22-03-2026 13:00:00",29.307814,76.337619,PM10,26,62,43
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB","22-03-2026 13:00:00",29.8006,76.4155,NO2,20,32,30
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB","22-03-2026 13:00:00",29.8006,76.4155,NH3,3,6,5
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","22-03-2026 13:00:00",29.695300,77.002700,PM10,17,100,60
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","22-03-2026 13:00:00",29.695300,77.002700,SO2,1,18,11
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","22-03-2026 13:00:00",29.966942,76.875879,PM10,56,102,87
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","22-03-2026 13:00:00",29.966942,76.875879,CO,7,21,16
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","22-03-2026 13:00:00",29.966942,76.875879,OZONE,15,60,30
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB","22-03-2026 13:00:00",28.360699,76.936090,OZONE,10,49,26
India,Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB","22-03-2026 13:00:00",28.060249,76.113115,SO2,7,9,8
India,Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB","22-03-2026 13:00:00",28.060249,76.113115,OZONE,11,29,13
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB","22-03-2026 13:00:00",28.1485564,77.3320667,PM10,79,94,86
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB","22-03-2026 13:00:00",28.1485564,77.3320667,SO2,6,12,10
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","22-03-2026 13:00:00",28.3153,76.9143,PM2.5,33,91,66
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB","22-03-2026 13:00:00",29.432304,76.972765,PM10,58,107,87
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB","22-03-2026 13:00:00",29.432304,76.972765,NH3,2,3,2
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","22-03-2026 13:00:00",13.029152,77.585901,NH3,1,5,2
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","22-03-2026 13:00:00",12.938539,77.590100,NO2,15,54,25
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","22-03-2026 13:00:00",12.920984,77.584908,NH3,2,2,2
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","22-03-2026 13:00:00",12.920984,77.584908,OZONE,22,109,60
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB","22-03-2026 13:00:00",13.0246342,77.5080115,NO2,23,24,23
